Date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2024-04-16,96.6391226382046,96.8241529567556,96.38008725041816,96.713134765625,34191600,0.0,0.0,0.0
2024-04-17,97.17569678262205,97.3977260994049,96.9629136878243,97.2404556274414,26726300,0.0,0.0,0.0
2024-04-18,97.30521610873154,97.33296889152305,96.8889102504892,97.04618072509766,25997900,0.0,0.0,0.0
2024-04-19,97.38847805060817,97.40698461194194,97.05543758663646,97.14794921875,20265600,0.0,0.0,0.0
2024-04-22,97.11093862733915,97.42547957349954,97.06467928434627,97.38847351074219,26642400,0.0,0.0,0.0
2024-04-23,97.29597252512043,97.94356810693067,97.15720153914783,97.55500793457031,26338800,0.0,0.0,0.0
2024-04-24,97.34221343725723,97.39771899785968,96.89814777788489,97.17568969726562,24538400,0.0,0.0,0.0
2024-04-25,96.49110203810847,96.9351606705981,96.34307778848878,96.88890838623047,29826400,0.0,0.0,0.0
2024-04-26,97.25894927978516,97.43472630151588,97.19419043886083,97.25894927978516,11784100,0.0,0.0,0.0
2024-04-29,97.53650555348963,97.75853488958585,97.41624113355945,97.66602325439453,18052100,0.0,0.0,0.0
2024-04-30,97.2681960009332,97.50873184736975,97.04616671247537,97.12942504882812,26008100,0.0,0.0,0.0
2024-05-01,97.412721395598,98.03502393065062,97.19910096924725,97.5334701538086,30342900,0.415,0.0,0.0
2024-05-02,97.60776799667299,98.19291760730403,97.45916340835987,98.13719177246094,28044200,0.0,0.0,0.0
2024-05-03,98.85237921754255,99.18674844380374,98.45299414651923,98.82451629638672,24166800,0.0,0.0,0.0
2024-05-06,98.93594957324876,99.11242415599544,98.8709337405833,99.10313415527344,18519800,0.0,0.0,0.0
2024-05-07,99.38178998245847,99.53040166791808,99.05671077825956,99.14958953857422,28680400,0.0,0.0,0.0
2024-05-08,98.91739188783586,99.0567135753395,98.83380312705091,98.89881896972656,19916700,0.0,0.0,0.0
2024-05-09,98.82449362613555,99.16814568981812,98.72232488120451,99.05669403076172,25583500,0.0,0.0,0.0
2024-05-10,98.8616697944789,98.93596855592766,98.62946933523685,98.74092102050781,16291500,0.0,0.0,0.0
2024-05-13,98.97310842277425,99.0567042618948,98.750197995444,98.77806091308594,20464200,0.0,0.0,0.0
2024-05-14,99.0381166316106,99.17743829528474,98.91737496906326,99.06598663330078,25440400,0.0,0.0,0.0
2024-05-15,99.84617262609274,100.10623594193247,99.61397222463671,99.9483413696289,33780900,0.0,0.0,0.0
2024-05-16,100.0876749450042,100.1062478614068,99.74401575890057,99.79045867919922,23586600,0.0,0.0,0.0
2024-05-17,99.61398389193492,99.79974140037906,99.53039513899348,99.55825805664062,21862800,0.0,0.0,0.0
2024-05-20,99.4839626409573,99.5954214094173,99.43751971588344,99.51182556152344,17885200,0.0,0.0,0.0
2024-05-21,99.7904672504601,99.82762017265121,99.6232826436977,99.67900848388672,17411900,0.0,0.0,0.0
2024-05-22,99.39105859543581,99.67898481630822,99.381768595545,99.53038024902344,26735600,0.0,0.0,0.0
2024-05-23,99.66042642211386,99.68828933965197,98.98239805517632,99.09385681152344,24876100,0.0,0.0,0.0
2024-05-24,99.11240931867378,99.37247261040366,99.028820583272,99.36318969726562,11189500,0.0,0.0,0.0
2024-05-28,99.50252249597031,99.50252249597031,98.70375247569642,98.76876831054688,15989600,0.0,0.0,0.0
2024-05-29,98.41584687914153,98.42513688212593,98.03504179113325,98.23937225341797,30015700,0.0,0.0,0.0
2024-05-30,98.63873348483904,98.87093389990335,98.57371765206881,98.84307098388672,21036300,0.0,0.0,0.0
2024-05-31,99.2331667623193,99.40035134593053,99.07527217951822,99.27960968017578,19901400,0.0,0.0,0.0
2024-06-03,99.58263663114298,99.98354071428471,99.53602417826194,99.96489715576172,20154900,0.405,0.0,0.0
2024-06-04,100.2445778978025,100.50563746927115,100.08608277855603,100.35646057128906,24545200,0.0,0.0,0.0
2024-06-05,100.52428768951386,100.7200770462363,100.16067786800839,100.69210815429688,26584700,0.0,0.0,0.0
2024-06-06,100.53360667911969,100.72007068904438,100.49631245450554,100.62683868408203,22687100,0.0,0.0,0.0
2024-06-07,99.78773625921883,99.94623137872496,99.63856647413837,99.72247314453125,26228700,0.0,0.0,0.0
2024-06-10,99.52668220683493,99.61058887588429,99.43345020350924,99.5173568725586,19415700,0.0,0.0,0.0
2024-06-11,99.57328481872038,100.01147587109016,99.50802171618491,99.94621276855469,19042600,0.0,0.0,0.0
2024-06-12,100.9531555369519,101.21420799941201,100.52428261817512,100.56157684326172,27209400,0.0,0.0,0.0
2024-06-13,101.01842818654528,101.2048993295772,100.7480503640091,101.03707885742188,26782700,0.0,0.0,0.0
2024-06-14,101.09300279035216,101.23285435017466,100.92518234119431,101.1209716796875,28561900,0.0,0.0,0.0
2024-06-17,100.5242840259472,100.70142981930285,100.44037735318686,100.6454849243164,24678700,0.0,0.0,0.0
